333.690: a1.
333.898: a1.
334.089: a1.
334.569: a1.
334.794: a1.
335.273: a1.
335.499: a1.
335.961: a1.
336.154: a1.
336.392: a1.
336.875: a1.
337.080: a1.
337.560: a1.
337.767: a1.
337.975: a1.
338.439: a1.
338.662: a1.
339.144: a1.
339.353: a1.
339.832: a1.
340.040: a1.
340.230: a1.
340.709: a1.
340.921: a1.
341.398: a1.
341.607: a1.
342.100: a1.
342.292: a1.
342.517: a1.
342.995: a1.
343.203: a1.
343.669: a1.
343.875: a1.
344.085: a1.
344.546: a1.
344.755: a1.
345.220: a1.
345.427: a1.
345.905: a1.
346.113: a1.
346.337: a1.
346.817: a1.
347.027: a1.
347.507: a1.
347.730: a1.
348.194: a1.
348.402: a1.
348.623: a1.
349.087: a1.
349.298: a1.
349.777: a1.
349.982: a1.
350.190: a1.
350.655: a1.
350.862: a1.
351.326: a1.
351.550: a1.
352.015: a1.
352.207: a1.
352.431: a1.
352.893: a1.
353.103: a1.
353.564: a1.
353.789: a1.
353.995: a1.
354.476: a1.
354.699: a1.
355.163: a1.
355.373: a1.
355.869: a1.
356.074: a1.
356.284: a1.
356.763: a1.
356.972: a1.
357.451: a1.
357.675: a1.
358.168: a1.
358.361: a1.
358.584: a1.
359.064: a1.
359.272: a1.
359.735: a1.
359.961: a1.
360.440: a1.
360.649: a1.
360.855: a1.
361.334: a1.
361.561: a1.
362.038: a1.
362.246: a1.
362.728: a1.
362.920: a1.
362.922: result: 3E
362.977: result: CB
362.977: result: F3
362.977: result: E6
362.978: result: B0
362.978: result: B5
362.978: result: 80
362.979: result: 57
362.979: result: D7
362.979: result: DB
362.979: result: C6
362.980: result: 6B
362.980: result: 31
362.980: end
362.981: chkpt[1]=16
362.981: chkpt[27]=16
363.008: chkpt[93]=16
363.008: chkpt[101]=16
363.008: chkpt[111]=4
363.009: chkpt[112]=1
363.009: start
363.485: a1.
363.677: a65535.
363.885: a65535.
364.349: a127.
364.367: recovery: 125
364.575: a125.
365.053: a125.
365.277: a125.
365.756: a125.
365.966: a125.
366.187: a125.
366.670: a125.
366.877: a125.
367.339: a125.
367.563: a125.
368.062: a125.
368.250: a125.
368.474: a125.
368.956: a125.
369.161: a125.
369.659: a125.
369.868: a125.
370.076: a1.
370.555: a1.
370.761: a1.
371.242: a1.
371.451: a1.
371.944: a1.
372.154: a1.
372.343: a1.
372.842: a1.
373.049: a1.
373.542: a1.
373.768: a1.
374.246: a1.
374.454: a1.
374.949: a1.
375.157: a1.
375.381: a1.
375.845: a1.
376.053: a1.
376.535: a1.
376.741: a1.
376.965: a1.
377.430: a1.
377.651: a1.
378.131: a1.
378.358: a1.
378.836: a1.
379.043: a1.
379.251: a1.
379.731: a1.
379.954: a1.
380.434: a1.
380.657: a1.
381.139: a1.
381.332: a1.
381.539: a1.
382.000: a1.
382.226: a1.
382.690: a1.
382.898: a1.
383.376: a1.
383.568: a1.
383.775: a1.
384.258: a1.
384.479: a1.
384.974: a1.
385.181: a1.
385.664: a1.
385.903: a1.
386.094: a1.
386.574: a1.
386.797: a1.
387.261: a1.
387.471: a1.
387.663: a1.
388.140: a1.
388.349: a1.
388.829: a1.
389.036: a1.
389.515: a1.
389.726: a1.
389.916: a1.
390.379: a1.
390.603: a1.
391.086: a1.
391.291: a1.
391.484: a1.
391.980: a1.
392.202: a1.
392.683: a1.
392.889: a1.
393.369: a1.
393.579: a1.
394.075: a1.
394.280: a1.
394.507: a1.
394.986: a1.
395.194: a1.
395.671: a1.
395.880: a1.
396.089: a1.
396.551: a1.
396.776: a1.
397.256: a1.
397.477: a1.
397.941: a1.
398.149: a1.
398.180: result: 3E
398.180: result: CB
398.180: result: F3
398.180: result: E6
398.181: result: B0
398.181: result: B5
398.181: result: 80
398.196: result: 57
398.428: a1.
398.429: result: D7
398.430: result: DB
398.431: result: C6
398.432: result: 6B
398.433: result: 31
398.434: end
398.435: chkpt[1]=32
398.436: chkpt[27]=32
398.437: chkpt[93]=32
398.439: chkpt[101]=16
398.439: chkpt[111]=8
398.440: chkpt[112]=2
398.441: chkpt[125]=0
398.442: start
398.862: a125.
399.084: a125.
399.564: a125.
399.771: a125.
400.254: a125.
400.461: a125.
400.669: a125.
401.132: a125.
401.340: a125.
401.801: a125.
402.012: a125.
402.474: a125.
402.667: a125.
402.873: a125.
403.353: a125.
403.577: a125.
404.072: a125.
404.280: a125.
404.488: a1.
404.983: a1.
405.191: a1.
405.655: a1.
405.880: a1.
406.344: a1.
406.553: a1.
406.758: a1.
407.240: a1.
407.464: a1.
407.941: a1.
408.149: a1.
408.613: a1.
408.821: a1.
409.028: a1.
409.492: a1.
409.719: a1.
410.198: a1.
410.403: a1.
410.595: a1.
411.092: a1.
411.315: a1.
411.795: a1.
412.002: a1.
412.482: a1.
412.689: a1.
412.917: a1.
413.394: a1.
413.604: a1.
414.098: a1.
414.308: a1.
414.785: a1.
414.978: a1.
415.184: a1.
415.664: a1.
415.872: a1.
416.368: a1.
416.576: a1.
416.768: a1.
417.231: a1.
417.441: a1.
417.906: a1.
418.129: a1.
418.608: a1.
418.815: a1.
419.038: a1.
419.518: a1.
419.726: a1.
420.189: a1.
420.397: a1.
420.860: a1.
421.053: a1.
421.260: a1.
421.723: a1.
421.931: a1.
422.413: a1.
422.619: a1.
422.846: a1.
423.307: a1.
423.532: a1.
424.011: a1.
424.234: a1.
424.716: a1.
424.937: a1.
425.145: a1.
425.609: a1.
425.817: a1.
426.314: a1.
426.539: a1.
427.019: a1.
427.223: a1.
427.416: a1.
427.896: a1.
428.104: a1.
428.583: a1.
428.794: a1.
429.001: a1.
429.481: a1.
429.688: a1.
430.166: a1.
430.391: a1.
430.870: a1.
431.081: a1.
431.286: a1.
431.752: a1.
431.973: a1.
432.471: a1.
432.472: result: 3E
432.473: result: CB
432.499: result: F3
432.500: result: E6
432.501: result: B0
432.502: result: B5
432.503: result: 80
432.505: result: 57
432.706: a1.
432.753: result: D7
432.754: result: DB
432.754: result: C6
432.754: result: 6B
432.755: result: 31
432.755: end
432.756: chkpt[1]=64
432.756: chkpt[27]=64
432.757: chkpt[93]=64
432.757: chkpt[101]=32
432.758: chkpt[111]=16
432.761: chkpt[112]=4
432.762: chkpt[125]=1
432.762: start
433.241: a65535.
433.449: a65535.
433.915: a110.
433.929: recovery: 108
434.136: a108.
434.348: a108.
434.811: a108.
435.016: a108.
435.496: a65535.
435.705: a111.
435.722: recovery: 116
436.182: a116.
436.391: a116.
436.584: a116.
437.063: a116.
437.273: a116.
437.753: a116.
437.973: a116.
438.453: a116.
438.660: a116.
438.869: a116.
439.335: a116.
439.544: a116.
440.006: a116.
440.196: a1.
440.407: a1.
440.868: a1.
441.075: a1.
441.558: a1.
441.766: a1.
442.259: a1.
442.467: a1.
442.677: a1.
443.170: a1.
443.379: a1.
443.857: a1.
444.066: a1.
444.545: a1.
444.737: a1.
444.945: a1.
445.425: a1.
445.649: a1.
446.128: a1.
446.337: a1.
446.531: a1.
447.007: a1.
447.218: a1.
447.679: a1.
447.887: a1.
448.095: a1.
448.577: a1.
448.783: a1.
449.265: a1.
449.487: a1.
449.981: a1.
450.189: a1.
450.398: a1.
450.861: a1.
451.087: a1.
451.567: a1.
451.789: a1.
452.270: a1.
452.478: a1.
452.667: a1.
453.147: a1.
453.373: a1.
453.835: a1.
454.043: a1.
454.538: a1.
454.730: a1.
454.938: a1.
455.420: a1.
455.626: a1.
456.092: a1.
456.298: a1.
456.505: a1.
456.984: a1.
457.210: a1.
457.672: a1.
457.880: a1.
458.360: a1.
458.554: a1.
458.760: a1.
459.222: a1.
459.430: a1.
459.896: a1.
460.103: a1.
460.310: a1.
460.775: a1.
460.998: a1.
461.477: a1.
461.685: a1.
462.166: a1.
462.407: a1.
462.597: a1.
463.079: a1.
463.287: a1.
463.747: a1.
463.958: a1.
464.435: a1.
464.645: a1.
464.866: a1.
465.333: a1.
465.538: a1.
466.018: a1.
466.227: a1.
466.417: a1.
466.898: a1.
467.105: a1.
467.585: a1.
467.796: a1.
467.809: result: 3E
467.810: result: CB
467.811: result: F3
467.825: result: E6
467.825: result: B0
467.826: result: B5
467.827: result: 80
467.844: result: 57
468.307: a1.
468.309: result: 3E
468.390: result: CB
468.390: result: F3
468.391: result: E6
468.391: result: B0
468.392: result: B5
468.392: result: 80
468.393: result: 57
468.393: result: D7
468.393: result: DB
468.394: result: C6
468.394: result: 6B
468.394: result: 31
468.395: end
468.395: chkpt[1]=128
468.395: chkpt[27]=128
468.396: chkpt[93]=128
468.396: chkpt[101]=32
468.397: chkpt[108]=0
468.397: chkpt[111]=32
468.397: chkpt[112]=8
468.398: chkpt[116]=0
468.398: chkpt[125]=2
468.405: start
468.614: a65535.
469.093: a108.
469.319: a108.
469.510: a108.
469.972: a108.
470.214: a116.
470.692: a116.
470.916: a116.
471.399: a116.
471.623: a116.
471.812: a116.
472.292: a116.
472.499: a116.
472.962: a116.
473.170: a116.
473.665: a116.
473.858: a116.
474.069: a116.
474.548: a1.
474.754: a1.
475.234: a1.
475.440: a1.
475.651: a1.
476.128: a1.
476.352: a1.
476.831: a1.
477.041: a1.
477.503: a1.
477.694: a1.
477.919: a1.
478.383: a1.
478.593: a1.
479.054: a1.
479.264: a1.
479.469: a1.
479.933: a1.
480.159: a1.
480.652: a1.
480.863: a1.
481.340: a1.
481.564: a1.
481.756: a1.
482.235: a1.
482.461: a1.
