6.334: a16465.
34.167: a65535.
34.649: a65535.
34.871: a37.
34.897: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
34.898: end
34.898: chkpt[37]=0
34.898: start
35.360: a37.
35.568: a37.
35.777: a37.
36.256: a37.
36.465: a37.
36.946: a37.
37.154: a37.
37.631: a37.
37.841: a37.
38.049: a37.
38.526: a37.
38.750: a37.
39.232: a37.
39.437: a37.
39.647: a37.
40.109: a37.
40.333: a37.
40.813: a65535.
41.023: a37.
41.500: a65535.
41.708: a65535.
41.916: a65535.
42.379: a65535.
42.587: a37.
42.620: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
42.620: end
42.621: chkpt[37]=0
42.622: start
43.100: a37.
43.305: a37.
43.769: a37.
43.977: a37.
44.185: a37.
44.648: a37.
44.874: a37.
45.352: a37.
45.576: a37.
45.784: a37.
46.247: a37.
46.472: a37.
46.937: a37.
47.145: a37.
47.638: a37.
47.846: a37.
48.057: a37.
48.534: a65535.
48.744: a37.
49.221: a65535.
49.432: a65535.
49.911: a65535.
50.117: a65535.
50.324: a37.
50.353: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
50.353: end
50.354: chkpt[37]=0
50.354: start
50.816: a37.
51.026: a37.
51.507: a37.
51.731: a37.
52.191: a37.
52.399: a37.
52.625: a37.
53.087: a37.
53.297: a37.
53.790: a37.
54.017: a37.
54.478: a37.
54.702: a37.
54.896: a37.
55.373: a37.
55.597: a37.
56.062: a37.
56.268: a65535.
56.476: a37.
56.958: a65535.
57.164: a65535.
57.646: a65535.
57.851: a65535.
58.349: a37.
58.376: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
58.377: end
58.377: chkpt[37]=0
58.377: start
58.569: a65535.
58.778: a37.
59.255: a37.
59.479: a37.
59.961: a37.
60.185: a37.
60.648: a37.
60.871: a37.
61.062: a37.
61.542: a37.
61.749: a37.
62.229: a37.
62.453: a37.
62.932: a37.
63.127: a37.
63.332: a37.
63.828: a37.
64.036: a65535.
64.533: a37.
64.739: a65535.
64.947: a65535.
65.427: a65535.
65.635: a65535.
66.129: a37.
66.131: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
66.131: end
66.131: chkpt[37]=0
66.132: start
66.340: a37.
66.817: a37.
67.025: a37.
67.234: a37.
67.712: a37.
67.936: a37.
68.416: a37.
68.623: a37.
69.104: a37.
69.313: a37.
69.538: a37.
69.998: a37.
70.209: a37.
70.689: a37.
70.912: a37.
71.389: a37.
71.581: a37.
71.791: a65535.
72.270: a37.
72.479: a65535.
72.972: a65535.
73.196: a65535.
73.678: a65535.
73.884: a37.
73.913: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
73.913: end
73.914: chkpt[37]=0
73.914: start
74.107: a65535.
74.600: a37.
74.808: a37.
75.288: a37.
75.496: a37.
75.975: a37.
76.202: a37.
76.391: a37.
76.871: a37.
77.097: a37.
77.574: a37.
77.782: a37.
77.976: a37.
78.454: a37.
78.662: a37.
79.141: a37.
79.365: a37.
79.829: a65535.
80.055: a37.
80.245: a65535.
80.708: a65535.
80.916: a65535.
81.396: a65535.
81.632: a37.
81.633: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
81.633: end
81.634: chkpt[37]=0
81.634: start
82.096: a37.
82.304: a37.
82.496: a37.
82.975: a37.
83.183: a37.
83.663: a37.
83.889: a37.
84.096: a37.
84.558: a37.
84.782: a37.
85.246: a37.
85.453: a37.
85.933: a37.
86.144: a37.
86.351: a37.
86.828: a37.
87.052: a37.
87.516: a65535.
87.740: a37.
87.932: a65535.
88.398: a65535.
88.619: a65535.
89.085: a65535.
89.291: a37.
89.318: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
89.318: end
89.319: chkpt[37]=0
89.319: start
89.780: a37.
90.004: a37.
90.196: a37.
90.660: a37.
90.885: a37.
91.364: a37.
91.571: a37.
92.067: a37.
92.275: a37.
92.483: a37.
92.963: a37.
93.170: a37.
93.650: a37.
93.858: a37.
94.337: a37.
94.532: a37.
94.737: a37.
95.235: a65535.
95.443: a37.
95.920: a65535.
96.128: a65535.
96.336: a65535.
96.800: a65535.
97.007: a37.
97.029: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
97.029: end
97.030: chkpt[37]=0
97.030: start
97.492: a37.
97.716: a37.
98.195: a37.
98.405: a37.
98.611: a37.
99.091: a37.
99.301: a37.
99.781: a37.
99.986: a37.
100.451: a37.
100.674: a37.
100.865: a37.
101.345: a37.
101.553: a37.
102.019: a37.
102.225: a37.
102.432: a37.
102.912: a65535.
103.120: a37.
103.600: a65535.
103.808: a65535.
104.306: a65535.
104.495: a65535.
104.720: a37.
104.721: stats: s 5 (62%) m 3 (37%) sum/tot 8/8: V
104.721: end
